age,layer,probability,rank
22.895895589558954,andesite,0.8743497390056628,2
22.895895589558954,basal layers,0.5671565325823799,1
22.895895589558954,basal layers,0.5671565325823799,1
22.895895589558954,basal layers,0.5671565325823799,1
22.895895589558954,basal layers,0.5671565325823799,1
22.896141614161415,Haycock,0.025822547790780526,4
22.896141614161415,pseudotachylyte,0.9741375141970477,3
22.896141614161415,andesite,0.8748787789015349,2
22.896141614161415,andesite,0.8748787789015349,2
22.896141614161415,basal layers,0.5674266162653873,1
22.896141614161415,basal layers,0.5674266162653873,1
22.896141614161415,basal layers,0.5674266162653873,1
22.896141614161415,basal layers,0.5674266162653873,1
22.896387638763876,Haycock,0.02503407036133211,4
22.896387638763876,pseudotachylyte,0.9742711627922892,3
22.896387638763876,andesite,0.8754069435097745,2
22.896387638763876,andesite,0.8754069435097745,2
22.896387638763876,basal layers,0.5676920726610533,1
22.896387638763876,basal layers,0.5676920726610533,1
22.896387638763876,basal layers,0.5676920726610533,1
22.896387638763876,basal layers,0.5676920726610533,1
22.896633663366334,Haycock,0.02426649094107385,4
22.896633663366334,pseudotachylyte,0.9744044788678513,3
22.896633663366334,andesite,0.8759342308591213,2
22.896633663366334,andesite,0.8759342308591213,2
22.896633663366334,basal layers,0.5679528951560366,1
22.896633663366334,basal layers,0.5679528951560366,1
22.896633663366334,basal layers,0.5679528951560366,1
22.896633663366334,basal layers,0.5679528951560366,1
22.896879687968795,Haycock,0.023519366690577304,4
22.896879687968795,pseudotachylyte,0.9745374622822236,3
22.896879687968795,andesite,0.8764606389807427,2
22.896879687968795,andesite,0.8764606389807427,2
22.896879687968795,basal layers,0.5682090772504362,1
22.896879687968795,basal layers,0.5682090772504362,1
22.896879687968795,basal layers,0.5682090772504362,1
22.896879687968795,basal layers,0.5682090772504362,1
22.897125712571256,Haycock,0.022792260465524603,4
22.897125712571256,pseudotachylyte,0.9746701128942304,3
22.897125712571256,andesite,0.8769861659082027,2
22.897125712571256,andesite,0.8769861659082027,2
22.897125712571256,basal layers,0.5684606125580359,1
22.897125712571256,basal layers,0.5684606125580359,1
22.897125712571256,basal layers,0.5684606125580359,1
22.897125712571256,basal layers,0.5684606125580359,1
22.897371737173717,Haycock,0.022084740866727327,4
22.897371737173717,pseudotachylyte,0.9748024305630373,3
22.897371737173717,andesite,0.8775108096775027,2
22.897371737173717,andesite,0.8775108096775027,2
22.897371737173717,basal layers,0.568707494806587,1
22.897371737173717,basal layers,0.568707494806587,1
22.897371737173717,basal layers,0.568707494806587,1
22.897371737173717,basal layers,0.568707494806587,1
22.897617761776175,Haycock,0.021396382284964013,4
22.897617761776175,pseudotachylyte,0.9749344151481492,3
22.897617761776175,andesite,0.8780345683270796,2
22.897617761776175,andesite,0.8780345683270796,2
22.897617761776175,basal layers,0.5689497178380609,1
22.897617761776175,basal layers,0.5689497178380609,1
22.897617761776175,basal layers,0.5689497178380609,1
22.897617761776175,basal layers,0.5689497178380609,1
22.897863786378636,Haycock,0.020726764940637514,4
22.897863786378636,pseudotachylyte,0.9750660665094174,3
22.897863786378636,andesite,0.8785574398978482,2
22.897863786378636,andesite,0.8785574398978482,2
22.897863786378636,basal layers,0.5691872756089195,1
22.897863786378636,basal layers,0.5691872756089195,1
22.897863786378636,basal layers,0.5691872756089195,1
22.897863786378636,basal layers,0.5691872756089195,1
22.898109810981097,Haycock,0.02007547491854011,4
22.898109810981097,pseudotachylyte,0.9751973845070282,3
22.898109810981097,andesite,0.8790794224331666,2
22.898109810981097,andesite,0.8790794224331666,2
22.898109810981097,basal layers,0.5694201621903449,1
22.898109810981097,basal layers,0.5694201621903449,1
22.898109810981097,basal layers,0.5694201621903449,1
22.898109810981097,basal layers,0.5694201621903449,1
22.89835583558356,Haycock,0.01944210419765641,4
22.89835583558356,pseudotachylyte,0.9753283690015114,3
22.89835583558356,andesite,0.8796005139788807,2
22.89835583558356,andesite,0.8796005139788807,2
22.89835583558356,basal layers,0.5696483717685015,1
22.89835583558356,basal layers,0.5696483717685015,1
22.89835583558356,basal layers,0.5696483717685015,1
22.89835583558356,basal layers,0.5696483717685015,1
22.898601860186016,Haycock,0.01882625067629146,4
22.898601860186016,pseudotachylyte,0.9754590198537365,3
22.898601860186016,andesite,0.8801207125833201,2
22.898601860186016,andesite,0.8801207125833201,2
22.898601860186016,basal layers,0.5698718986447701,1
22.898601860186016,basal layers,0.5698718986447701,1
22.898601860186016,basal layers,0.5698718986447701,1
22.898601860186016,basal layers,0.5698718986447701,1
22.898847884788477,Haycock,0.018227518192540728,4
22.898847884788477,pseudotachylyte,0.9755893369249198,3
22.898847884788477,andesite,0.8806400162973401,2
22.898847884788477,andesite,0.8806400162973401,2
22.898847884788477,basal layers,0.5700907372359985,1
22.898847884788477,basal layers,0.5700907372359985,1
22.898847884788477,basal layers,0.5700907372359985,1
22.898847884788477,basal layers,0.5700907372359985,1
22.89909390939094,Haycock,0.017645516540373735,4
22.89909390939094,pseudotachylyte,0.9757193200766149,3
22.89909390939094,andesite,0.8811584231742893,2
22.89909390939094,andesite,0.8811584231742893,2
22.89909390939094,basal layers,0.5703048820747143,1
22.89909390939094,basal layers,0.5703048820747143,1
22.89909390939094,basal layers,0.5703048820747143,1
22.89909390939094,basal layers,0.5703048820747143,1
22.899339933993396,Haycock,0.017079861481291165,4
22.899339933993396,pseudotachylyte,0.9758489691707171,3
22.899339933993396,andesite,0.8816759312700438,2
22.899339933993396,andesite,0.8816759312700438,2
22.899339933993396,basal layers,0.5705143278093635,1
22.899339933993396,basal layers,0.5705143278093635,1
22.899339933993396,basal layers,0.5705143278093635,1
22.899339933993396,basal layers,0.5705143278093635,1
22.899585958595857,Haycock,0.016530174751770096,4
22.899585958595857,pseudotachylyte,0.9759782840694695,3
22.899585958595857,andesite,0.8821925386430427,2
22.899585958595857,andesite,0.8821925386430427,2
22.899585958595857,basal layers,0.5707190692045417,1
22.899585958595857,basal layers,0.5707190692045417,1
22.899585958595857,basal layers,0.5707190692045417,1
22.899585958595857,basal layers,0.5707190692045417,1
22.899831983198318,Haycock,0.015996084066694026,4
22.899831983198318,pseudotachylyte,0.9761072646354532,3
22.899831983198318,andesite,0.8827082433542539,2
22.899831983198318,andesite,0.8827082433542539,2
22.899831983198318,basal layers,0.5709191011411936,1
22.899831983198318,basal layers,0.5709191011411936,1
22.899831983198318,basal layers,0.5709191011411936,1
22.899831983198318,basal layers,0.5709191011411936,1
22.90007800780078,Haycock,0.015477223118742172,4
22.90007800780078,pseudotachylyte,0.9762359107315934,3
22.90007800780078,andesite,0.8832230434672177,2
22.90007800780078,andesite,0.8832230434672177,2
